Z,U,X1,X2,X3,X4,poolID,W
0.114411685,-1.202586686,1,0.098175058,0,0,1,3.335986829
0.114411685,1.495889004,1,-0.279008352,1,0,1,1.060366758
0.114411685,-0.726017499,1,-1.771773716,1,0,1,9.27032906
0.114411685,0.65869737,1,-0.077218483,0,0,1,7.530968574
0.114411685,-1.719081082,1,-1.246802188,1,0,1,3.054948841
0.114411685,-0.637394018,1,-0.338279498,1,0,1,4.206225803
0.114411685,0.106644528,1,1.431411885,1,0,1,9.350858811
0.114411685,1.57205835,1,1.099595067,0,1,1,2.292396805
0.151867017,1.998021665,1,-0.266202138,0,0,2,4.296960934
0.151867017,-1.393613284,1,0.20167813,1,0,2,8.625244695
0.151867017,0.556329342,1,-0.98683027,1,0,2,9.86609614
0.151867017,-0.72184123,1,-1.047790394,1,1,2,8.374562681
0.151867017,1.23032911,1,-0.152572762,1,1,2,6.69949433
0.151867017,-1.423374967,1,-1.096754138,0,0,2,9.051101049
0.151867017,1.372731734,1,2.564509454,1,0,2,6.647772185
0.151867017,0.504679084,1,-1.8560995,0,1,2,2.341142379
0.054873425,-1.79791804,1,0.10020334,0,0,3,2.54198295
0.054873425,0.056856507,1,0.613372921,1,1,3,9.905815521
0.054873425,-1.860265031,1,-0.028515717,0,1,3,1.740097231
0.054873425,1.550077488,1,0.971324326,0,1,3,3.181256079
0.054873425,-1.044760932,1,0.100877695,1,1,3,3.482281836
0.054873425,1.72024941,1,0.730680557,1,0,3,9.389992104
0.054873425,0.501625545,1,-0.949023112,0,1,3,3.102182489
0.054873425,0.063366318,1,0.064258855,1,0,3,8.190311572
0.79690058,0.648557666,1,0.578948154,0,1,4,3.876132576
0.79690058,0.241403878,1,1.021017638,0,0,4,5.846046049
0.79690058,1.225319278,1,-0.485344289,0,0,4,2.430596908
0.79690058,-0.955274259,1,-0.405695598,1,1,4,2.934094793
0.79690058,-1.171273115,1,-1.846630142,0,1,4,4.579944328
0.79690058,0.264877017,1,-0.625790196,0,1,4,5.969772262
0.79690058,-0.089550806,1,-0.276771187,0,1,4,5.26697783
0.79690058,-0.972034934,1,-0.577437966,0,1,4,1.075053921
-0.356013738,-1.72943706,1,0.118495213,1,0,5,2.84362245
-0.356013738,1.323679306,1,0.196084845,1,0,5,6.475267572
-0.356013738,-0.032975356,1,1.27326102,1,0,5,9.301600197
-0.356013738,-1.891642213,1,-1.138472551,0,0,5,7.727494969
-0.356013738,-1.62766932,1,-0.997500441,0,0,5,8.221103703
-0.356013738,-1.627980286,1,0.397905199,0,0,5,6.023143155
-0.356013738,0.456000855,1,-0.884924443,1,0,5,7.420170924
-0.356013738,-0.777979849,1,0.45643076,1,0,5,2.514358926
0.696318727,-0.529915757,1,0.907433361,0,1,6,7.294042036
0.696318727,-0.091462995,1,1.077668279,0,1,6,7.300310958
0.696318727,-0.736310994,1,-0.364567044,1,1,6,3.187832107
