Z,U,X1,X2,X3,X4,poolID,W
-0.906168667,-1.999550029,1,-2.728323426,0,0,1,5.787923032
-0.906168667,-1.992390401,1,-0.17162493,0,0,1,7.566071798
-0.906168667,-1.986273433,1,-1.041498331,0,0,1,9.972046223
-0.906168667,-1.98322714,1,-1.461377035,0,0,1,9.367481675
-0.906168667,-1.979995334,1,0.090130983,0,0,1,3.912155563
-0.906168667,-1.971166419,1,-1.959153533,0,0,1,1.610920186
-0.906168667,-1.963174318,1,1.859992056,0,0,1,7.488673851
-0.906168667,-1.962736155,1,-0.000262374,0,0,1,3.457906625
-1.111221872,-1.96055327,1,-0.210208337,0,0,2,6.570353239
-1.111221872,-1.959471689,1,0.70441137,0,0,2,6.324636335
-1.111221872,-1.953880668,1,-0.765358161,0,0,2,7.021743003
-1.111221872,-1.952180279,1,-1.212743136,0,0,2,5.39618316
-1.111221872,-1.949504981,1,-0.172055022,0,0,2,7.572507291
-1.111221872,-1.948631323,1,0.753726901,0,0,2,2.389398045
-1.111221872,-1.947760777,1,-1.950934248,0,0,2,4.184908723
-1.111221872,-1.947758758,1,-1.219566969,0,0,2,6.922766706
-0.824682108,-1.944766795,1,-1.250832305,0,0,3,3.446209488
-0.824682108,-1.942832361,1,-0.197523486,0,0,3,7.00207313
-0.824682108,-1.942148937,1,-2.291564822,0,0,3,5.932236698
-0.824682108,-1.942001927,1,-0.93180309,0,0,3,6.050065721
-0.824682108,-1.938264002,1,2.148577935,0,0,3,9.23616046
-0.824682108,-1.936160933,1,-1.466443735,0,0,3,2.431589813
-0.824682108,-1.924907646,1,-0.288153164,0,0,3,8.858263445
-0.824682108,-1.923283124,1,-0.995282454,0,0,3,2.49539562
-0.617407015,-1.920929652,1,0.160122662,0,0,4,6.856684194
-0.617407015,-1.912993726,1,-1.349239899,0,0,4,1.916032574
-0.617407015,-1.912725481,1,0.526785906,0,0,4,8.553783854
-0.617407015,-1.91105541,1,-0.17825127,0,0,4,3.648420455
-0.617407015,-1.910986193,1,-3.115134611,0,0,4,1.19321524
-0.617407015,-1.909982537,1,-0.989224768,0,0,4,7.163173276
-0.617407015,-1.906117271,1,-1.453204791,0,0,4,5.660827721
-0.617407015,-1.903488372,1,0.132979317,0,0,4,2.062971896
-0.952687333,-1.895257477,1,0.304063619,0,0,5,6.728868374
-0.952687333,-1.892462,1,-0.718628559,0,0,5,3.5101827
-0.952687333,-1.891642213,1,-1.138472551,0,0,5,7.727494969
-0.952687333,-1.888086474,1,-1.54966798,0,0,5,6.395870428
-0.952687333,-1.886134266,1,1.378938379,0,0,5,9.827301398
-0.952687333,-1.886131328,1,-2.170042825,0,0,5,3.007786271
-0.952687333,-1.885517451,1,-0.795976177,0,0,5,1.462067561
-0.952687333,-1.879789581,1,0.929319218,0,0,5,8.893787824
-0.613200036,-1.878838366,1,-0.082023806,0,0,6,4.292628265
-0.613200036,-1.875106421,1,1.063014279,0,0,6,7.047395032
-0.613200036,-1.874996452,1,-0.665076677,0,0,6,7.136092262
-0.613200036,-1.871921043,1,0.009204135,0,0,6,7.751759906
-0.613200036,-1.871190336,1,-0.565182287,0,0,6,1.885158439
-0.613200036,-1.869466943,1,-0.644447081,0,0,6,9.23512361
-0.613200036,-1.867724765,1,-2.29582671,0,0,6,9.507841998
-0.613200036,-1.867674143,1,0.444315465,0,0,6,3.749670911
-0.659986364,-1.866889738,1,0.460331833,0,0,7,8.701899138
-0.659986364,-1.861749454,1,-1.312317411,0,0,7,5.457698303
-0.659986364,-1.85994594,1,-1.423980626,0,0,7,8.709313545
-0.659986364,-1.856407743,1,-0.402011323,0,0,7,3.392461349
-0.659986364,-1.851577728,1,-0.224000276,0,0,7,6.660944956
-0.659986364,-1.850320804,1,-1.601559708,0,0,7,9.267751941
-0.659986364,-1.849272208,1,-0.023686604,0,0,7,6.004595106
-0.659986364,-1.84897783,1,-0.650174412,0,0,7,1.571446225
-0.299241916,-1.847855834,1,-2.765870605,0,0,8,4.510117752
-0.299241916,-1.84570103,1,-1.872283417,0,0,8,8.898712025
-0.299241916,-1.839162854,1,-0.043467565,0,0,8,3.622252641
-0.299241916,-1.837385052,1,-0.793488355,0,0,8,5.23464367
